Brand,ProductName,FlavorProfile,Type,Ingredients,Caffeine_mg,Sugar_g,Calories,HealthTags,MarketRegion,UseCase,ReviewSummary,MedicalTags
Sprite,Sprite Citrus Blast,Citrus,Energy Drink,"Citric Acid, Natural Flavors, Natural Flavors, Sweetener, Carbonated Water, Fruit Juice Concentrate",160,0,0,"Sugar-free, Zero calorie, High caffeine",UK,Party,Talk society to out about budget care.,"Diabetic-safe, Low-calorie, High-caffeine"
Mountain Dew,Mountain Dew Orange Blast,Orange,Sparkling Juice,"Caffeine, Carbonated Water, Natural Flavors, Caffeine, Carbonated Water, Sweetener",10,20,80,Regular,Mexico,Post-workout,Personal rise set animal agency recognize one ok take.,Low-caffeine
Thums Up,Thums Up Coconut Blast,Coconut,Sparkling Water,"Natural Flavors, Fruit Juice Concentrate, Sugar, Herbal Extract, Sugar, Sugar",30,5,20,"Low sugar, Low calorie",South Africa,Party,President top light understand dream half vote career common drop.,"Low-sugar, Low-calorie"
Jarritos,Jarritos Lime Blast,Lime,Energy Drink,"Sugar, Herbal Extract, Sugar, Sweetener, Sodium Benzoate, Fruit Juice Concentrate",120,20,80,High caffeine,Mexico,Party,Black garden recent explain value measure big.,High-caffeine
Pepsi,Pepsi Mixed Fruit Blast,Mixed Fruit,Soda,"Sweetener, Sweetener, Citric Acid, Natural Flavors, Herbal Extract, Sugar",10,20,80,Regular,UK,Hydration,Might good her thought especially employee beyond foot road.,Low-caffeine
Appy Fizz,Appy Fizz Mint Blast,Mint,Energy Drink,"Carbonated Water, Sweetener, Sodium Benzoate, Sugar, Sweetener, Sugar",30,10,40,Low calorie,India,Weight Management,Two offer mouth test car.,Low-calorie
Pepsi,Pepsi Citrus Blast,Citrus,Energy Drink,"Artificial Flavor, Carbonated Water, Sugar, Citric Acid, Sugar, Caffeine",160,0,0,"Sugar-free, Zero calorie, High caffeine",Mexico,Party,Democrat small girl president above land smile scene finally capital.,"Diabetic-safe, Low-calorie, High-caffeine"
Fresca,Fresca Coconut Blast,Coconut,Energy Drink,"Artificial Flavor, Sweetener, Citric Acid, Artificial Flavor, Natural Flavors, Sodium Benzoate",120,5,20,Zero calorie,USA,Kids-friendly,Now weight tell plan meet spend.,"Low-sugar, Low-calorie, High-caffeine"
LaCroix,LaCroix Apple Blast,Apple,Soda,"Citric Acid, Artificial Flavor, Natural Flavors, Sweetener, Artificial Flavor, Sweetener",160,0,0,Low calorie,India,Party,Tree great a data nearly anything skill even back.,"Diabetic-safe, Low-calorie, High-caffeine"
Jarritos,Jarritos Mango Blast,Mango,Sparkling Juice,"Carbonated Water, Artificial Flavor, Citric Acid, Caffeine, Carbonated Water, Caffeine",80,5,20,"Low sugar, Low calorie",Germany,Post-workout,If heart people professor class area source.,"Low-sugar, Low-calorie"
Sprite,Sprite Melon Blast,Melon,Sparkling Water,"Sugar, Sugar, Sodium Benzoate, Sweetener, Natural Flavors, Caffeine",80,5,20,"Low sugar, Low calorie",Australia,Post-workout,Plan which capital land itself song go.,"Low-sugar, Low-calorie"
Coca-Cola,Coca-Cola Coconut Blast,Coconut,Sparkling Water,"Sugar, Sodium Benzoate, Sodium Benzoate, Citric Acid, Artificial Flavor, Sweetener",0,10,40,Sugar-free,Australia,Hydration,Community you measure young.,"Caffeine-free, Low-calorie, Kids-friendly"
Pepsi,Pepsi Ginger Blast,Ginger,Diet Soda,"Sweetener, Herbal Extract, Natural Flavors, Caffeine, Carbonated Water, Carbonated Water",10,20,80,Sugar-free,Germany,Kids-friendly,Establish clearly physical lead audience over staff.,Low-caffeine
Limca,Limca Lemon-Lime Blast,Lemon-Lime,Diet Soda,"Caffeine, Sweetener, Herbal Extract, Artificial Flavor, Carbonated Water, Sugar",80,5,20,Low calorie,Australia,Weight Management,Lot process start loss student evidence way radio list like.,"Low-sugar, Low-calorie"
Pepsi,Pepsi Orange Blast,Orange,Sparkling Juice,"Caffeine, Sweetener, Herbal Extract, Sodium Benzoate, Fruit Juice Concentrate, Herbal Extract",0,10,40,Zero calorie,Germany,Everyday,Recently site single anything bed former exist.,"Caffeine-free, Low-calorie, Kids-friendly"
Fresca,Fresca Apple Blast,Apple,Sparkling Water,"Fruit Juice Concentrate, Sweetener, Artificial Flavor, Carbonated Water, Sweetener, Natural Flavors",30,5,20,"Low sugar, Low calorie",Brazil,Everyday,Reason phone attorney future coach.,"Low-sugar, Low-calorie"
Fanta,Fanta Orange Blast,Orange,Sparkling Water,"Carbonated Water, Sugar, Fruit Juice Concentrate, Natural Flavors, Sweetener, Artificial Flavor",160,5,20,"Low sugar, Low calorie, High caffeine",USA,Party,Spend water able my accept including.,"Low-sugar, Low-calorie, High-caffeine"
Coca-Cola,Coca-Cola Mixed Fruit Blast,Mixed Fruit,Diet Soda,"Natural Flavors, Artificial Flavor, Fruit Juice Concentrate, Sweetener, Caffeine, Natural Flavors",40,0,0,"Sugar-free, Zero calorie",USA,Everyday,Similar start firm peace break church past list sport.,"Diabetic-safe, Low-calorie"
Thums Up,Thums Up Cola Blast,Cola,Soda,"Sugar, Artificial Flavor, Herbal Extract, Artificial Flavor, Caffeine, Artificial Flavor",0,0,0,Low calorie,Australia,Party,Body military process wife partner young later.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
Jarritos,Jarritos Apple Blast,Apple,Sparkling Juice,"Caffeine, Carbonated Water, Artificial Flavor, Caffeine, Carbonated Water, Herbal Extract",120,30,120,High caffeine,Canada,Energy Boost,Individual could under week firm hand none strong happy fall.,High-caffeine
Big Cola,Big Cola Mint Blast,Mint,Sparkling Juice,"Caffeine, Sodium Benzoate, Sweetener, Sugar, Sugar, Natural Flavors",10,0,0,Low calorie,Australia,Kids-friendly,Project sea wide word more late modern respond thousand.,"Diabetic-safe, Low-caffeine, Low-calorie"
Mountain Dew,Mountain Dew Apple Blast,Apple,Sparkling Juice,"Artificial Flavor, Sweetener, Sweetener, Carbonated Water, Sodium Benzoate, Citric Acid",30,10,40,Low calorie,UK,Everyday,Yeah deal wall by reason data accept enter.,Low-calorie
Pepsi,Pepsi Pineapple Blast,Pineapple,Sparkling Juice,"Herbal Extract, Natural Flavors, Carbonated Water, Citric Acid, Sweetener, Caffeine",120,30,120,Zero calorie,Mexico,Energy Boost,Magazine front official interest end analysis skin other see.,High-caffeine
Thums Up,Thums Up Cola Blast,Cola,Tonic,"Herbal Extract, Caffeine, Natural Flavors, Carbonated Water, Carbonated Water, Natural Flavors",120,10,40,Sugar-free,Japan,Everyday,Rest general who choice main sister enter across perhaps scene.,"Low-calorie, High-caffeine"
Big Cola,Big Cola Berry Blast,Berry,Energy Drink,"Sodium Benzoate, Citric Acid, Carbonated Water, Herbal Extract, Sweetener, Fruit Juice Concentrate",160,0,0,"Sugar-free, Zero calorie, High caffeine",USA,Energy Boost,Religious individual easy instead wide machine television.,"Diabetic-safe, Low-calorie, High-caffeine"
Thums Up,Thums Up Ginger Blast,Ginger,Diet Soda,"Citric Acid, Sodium Benzoate, Herbal Extract, Sugar, Citric Acid, Citric Acid",30,5,20,"Low sugar, Low calorie",Brazil,Energy Boost,Theory stay affect food.,"Low-sugar, Low-calorie"
Topo Chico,Topo Chico Mixed Fruit Blast,Mixed Fruit,Soda,"Sodium Benzoate, Caffeine, Sodium Benzoate, Sweetener, Natural Flavors, Artificial Flavor",120,5,20,Zero calorie,Australia,Weight Management,Modern garden street rate reflect common without loss.,"Low-sugar, Low-calorie, High-caffeine"
Jarritos,Jarritos Grape Blast,Grape,Sparkling Water,"Sugar, Caffeine, Artificial Flavor, Citric Acid, Sugar, Sugar",0,10,40,"Low calorie, Caffeine-free",Australia,Everyday,Such send figure voice partner.,"Caffeine-free, Low-calorie, Kids-friendly"
LaCroix,LaCroix Vanilla Blast,Vanilla,Diet Soda,"Citric Acid, Sugar, Citric Acid, Carbonated Water, Sodium Benzoate, Fruit Juice Concentrate",0,20,80,Caffeine-free,Australia,Everyday,Soldier respond interesting a front experience wait price condition.,Caffeine-free
Mountain Dew,Mountain Dew Mango Blast,Mango,Sparkling Water,"Artificial Flavor, Caffeine, Citric Acid, Carbonated Water, Sugar, Sodium Benzoate",10,30,120,Sugar-free,Germany,Everyday,But consumer away huge shake indeed.,Low-caffeine
Monster,Monster Mango Blast,Mango,Tonic,"Sweetener, Citric Acid, Citric Acid, Herbal Extract, Natural Flavors, Herbal Extract",0,10,40,Low calorie,Brazil,Weight Management,Collection local wait fall reason price sport mouth phone.,"Caffeine-free, Low-calorie, Kids-friendly"
Irn-Bru,Irn-Bru Apple Blast,Apple,Diet Soda,"Herbal Extract, Sweetener, Natural Flavors, Citric Acid, Fruit Juice Concentrate, Citric Acid",160,5,20,"Low sugar, Low calorie, High caffeine",Germany,Energy Boost,When former court statement city first remain.,"Low-sugar, Low-calorie, High-caffeine"
7UP,7UP Mint Blast,Mint,Tonic,"Fruit Juice Concentrate, Carbonated Water, Sweetener, Artificial Flavor, Fruit Juice Concentrate, Sugar",160,0,0,"Sugar-free, Zero calorie, High caffeine",Japan,Energy Boost,Mrs water color save guy pay speak red.,"Diabetic-safe, Low-calorie, High-caffeine"
Big Cola,Big Cola Lychee Blast,Lychee,Sparkling Water,"Fruit Juice Concentrate, Carbonated Water, Natural Flavors, Artificial Flavor, Sodium Benzoate, Carbonated Water",160,5,20,Sugar-free,UK,Party,Feel second would there action tree law.,"Low-sugar, Low-calorie, High-caffeine"
Fanta,Fanta Grape Blast,Grape,Sparkling Juice,"Sodium Benzoate, Caffeine, Citric Acid, Citric Acid, Sugar, Carbonated Water",120,30,120,Zero calorie,Australia,Post-workout,Hit treat religious to middle.,High-caffeine
Sprite,Sprite Lime Blast,Lime,Sparkling Juice,"Caffeine, Citric Acid, Sweetener, Citric Acid, Sugar, Sugar",10,30,120,Zero calorie,Brazil,Energy Boost,Value writer single anyone.,Low-caffeine
LaCroix,LaCroix Berry Blast,Berry,Diet Soda,"Citric Acid, Sodium Benzoate, Citric Acid, Artificial Flavor, Natural Flavors, Citric Acid",40,0,0,Zero calorie,UK,Post-workout,Identify buy last say energy trial whom concern job his.,"Diabetic-safe, Low-calorie"
Bovonto,Bovonto Lemon-Lime Blast,Lemon-Lime,Soda,"Artificial Flavor, Herbal Extract, Sweetener, Natural Flavors, Citric Acid, Carbonated Water",10,0,0,"Sugar-free, Zero calorie",Canada,Kids-friendly,Game total usually these program current range.,"Diabetic-safe, Low-caffeine, Low-calorie"
Mirinda,Mirinda Tamarind Blast,Tamarind,Diet Soda,"Artificial Flavor, Sodium Benzoate, Natural Flavors, Sweetener, Artificial Flavor, Sweetener",10,0,0,"Sugar-free, Zero calorie",South Africa,Post-workout,Forward win bring cut international two end campaign.,"Diabetic-safe, Low-caffeine, Low-calorie"
Jarritos,Jarritos Berry Blast,Berry,Energy Drink,"Sodium Benzoate, Citric Acid, Sugar, Artificial Flavor, Carbonated Water, Citric Acid",120,40,160,High caffeine,UK,Hydration,Weight American like state party become those.,High-caffeine
Irn-Bru,Irn-Bru Mint Blast,Mint,Energy Drink,"Sodium Benzoate, Herbal Extract, Fruit Juice Concentrate, Fruit Juice Concentrate, Citric Acid, Artificial Flavor",120,5,20,Low calorie,Mexico,Weight Management,Than that interesting perform lose south.,"Low-sugar, Low-calorie, High-caffeine"
7UP,7UP Grape Blast,Grape,Energy Drink,"Carbonated Water, Sweetener, Natural Flavors, Sodium Benzoate, Natural Flavors, Sodium Benzoate",10,0,0,Low calorie,Germany,Everyday,Point resource news write certain per win very anyone.,"Diabetic-safe, Low-caffeine, Low-calorie"
Mirinda,Mirinda Lime Blast,Lime,Sparkling Water,"Artificial Flavor, Fruit Juice Concentrate, Sweetener, Herbal Extract, Fruit Juice Concentrate, Fruit Juice Concentrate",120,40,160,Sugar-free,Germany,Energy Boost,Deep matter assume especially play move place role upon.,High-caffeine
Jarritos,Jarritos Citrus Blast,Citrus,Soda,"Carbonated Water, Herbal Extract, Fruit Juice Concentrate, Citric Acid, Carbonated Water, Natural Flavors",120,5,20,"Low sugar, Low calorie, High caffeine",Mexico,Everyday,Tree race though tree idea.,"Low-sugar, Low-calorie, High-caffeine"
Irn-Bru,Irn-Bru Orange Blast,Orange,Energy Drink,"Natural Flavors, Fruit Juice Concentrate, Sugar, Sweetener, Sweetener, Sodium Benzoate",0,5,20,"Low sugar, Low calorie, Caffeine-free",Japan,Party,Knowledge expert car mouth law them hair history.,"Low-sugar, Caffeine-free, Low-calorie, Kids-friendly"
Appy Fizz,Appy Fizz Tamarind Blast,Tamarind,Sparkling Water,"Herbal Extract, Sweetener, Fruit Juice Concentrate, Fruit Juice Concentrate, Artificial Flavor, Herbal Extract",120,10,40,"Low calorie, High caffeine",India,Party,National wear those still live cell everybody.,"Low-calorie, High-caffeine"
Mirinda,Mirinda Mixed Fruit Blast,Mixed Fruit,Diet Soda,"Sodium Benzoate, Natural Flavors, Citric Acid, Natural Flavors, Natural Flavors, Sweetener",10,30,120,Low calorie,South Africa,Post-workout,Wife character voice bit force guy paper yourself goal role.,Low-caffeine
Topo Chico,Topo Chico Vanilla Blast,Vanilla,Energy Drink,"Artificial Flavor, Herbal Extract, Citric Acid, Artificial Flavor, Herbal Extract, Artificial Flavor",10,40,160,Zero calorie,India,Energy Boost,Take real themselves run often.,Low-caffeine
Pepsi,Pepsi Ginger Blast,Ginger,Soda,"Natural Flavors, Fruit Juice Concentrate, Sodium Benzoate, Herbal Extract, Carbonated Water, Artificial Flavor",0,5,20,Sugar-free,Japan,Party,Can small force dark region beyond third foreign.,"Low-sugar, Caffeine-free, Low-calorie, Kids-friendly"
Appy Fizz,Appy Fizz Citrus Blast,Citrus,Soda,"Sodium Benzoate, Natural Flavors, Sodium Benzoate, Natural Flavors, Citric Acid, Sodium Benzoate",80,0,0,Low calorie,Japan,Post-workout,Civil speak management professor street pick.,"Diabetic-safe, Low-calorie"
7UP,7UP Mint Blast,Mint,Soda,"Carbonated Water, Sugar, Natural Flavors, Carbonated Water, Artificial Flavor, Natural Flavors",120,10,40,Low calorie,USA,Everyday,Performance similar analysis inside hit claim mission cut week left claim.,"Low-calorie, High-caffeine"
Mirinda,Mirinda Berry Blast,Berry,Soda,"Citric Acid, Artificial Flavor, Fruit Juice Concentrate, Sweetener, Carbonated Water, Carbonated Water",160,40,160,Sugar-free,Australia,Everyday,Like executive feel fund another few line.,High-caffeine
LaCroix,LaCroix Mint Blast,Mint,Diet Soda,"Natural Flavors, Fruit Juice Concentrate, Caffeine, Citric Acid, Artificial Flavor, Carbonated Water",120,5,20,Low calorie,Brazil,Kids-friendly,Edge man thought treatment field yeah for.,"Low-sugar, Low-calorie, High-caffeine"
Mirinda,Mirinda Vanilla Blast,Vanilla,Energy Drink,"Artificial Flavor, Caffeine, Citric Acid, Carbonated Water, Herbal Extract, Artificial Flavor",10,40,160,Sugar-free,Germany,Everyday,He professional product central hope type because action industry first summer.,Low-caffeine
Bovonto,Bovonto Herbal Blast,Herbal,Energy Drink,"Artificial Flavor, Carbonated Water, Artificial Flavor, Natural Flavors, Natural Flavors, Artificial Flavor",0,20,80,Zero calorie,UK,Weight Management,Game professional discuss than soldier thousand treat under.,Caffeine-free
Mirinda,Mirinda Melon Blast,Melon,Diet Soda,"Artificial Flavor, Sugar, Natural Flavors, Sugar, Caffeine, Sweetener",10,20,80,Low calorie,Brazil,Everyday,Director such event fear above east score size.,Low-caffeine
Big Cola,Big Cola Cola Blast,Cola,Energy Drink,"Citric Acid, Caffeine, Natural Flavors, Natural Flavors, Sodium Benzoate, Sweetener",0,10,40,"Low calorie, Caffeine-free",Australia,Post-workout,Section better cultural gas whether within through.,"Caffeine-free, Low-calorie, Kids-friendly"
Topo Chico,Topo Chico Coconut Blast,Coconut,Energy Drink,"Carbonated Water, Carbonated Water, Artificial Flavor, Artificial Flavor, Natural Flavors, Sodium Benzoate",160,5,20,Low calorie,India,Party,Political age determine whether enjoy rate keep compare exist employee.,"Low-sugar, Low-calorie, High-caffeine"
Limca,Limca Cola Blast,Cola,Sparkling Water,"Herbal Extract, Fruit Juice Concentrate, Natural Flavors, Caffeine, Sugar, Herbal Extract",160,5,20,Low calorie,Australia,Energy Boost,Dinner grow perform before seem agreement town although program.,"Low-sugar, Low-calorie, High-caffeine"
Mirinda,Mirinda Mixed Fruit Blast,Mixed Fruit,Sparkling Water,"Fruit Juice Concentrate, Sugar, Sodium Benzoate, Sweetener, Fruit Juice Concentrate, Caffeine",40,10,40,Zero calorie,India,Everyday,Study start ball finally out.,Low-calorie
Thums Up,Thums Up Citrus Blast,Citrus,Sparkling Juice,"Herbal Extract, Natural Flavors, Carbonated Water, Caffeine, Sugar, Herbal Extract",0,0,0,Low calorie,USA,Hydration,My have up great.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
Topo Chico,Topo Chico Ginger Blast,Ginger,Tonic,"Herbal Extract, Sodium Benzoate, Sugar, Fruit Juice Concentrate, Fruit Juice Concentrate, Citric Acid",0,0,0,Low calorie,South Africa,Kids-friendly,Agreement more class cup opportunity.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
Coca-Cola,Coca-Cola Mango Blast,Mango,Sparkling Water,"Citric Acid, Sodium Benzoate, Natural Flavors, Sugar, Artificial Flavor, Herbal Extract",10,0,0,Low calorie,Germany,Party,Responsibility thought cold no model until within none very say.,"Diabetic-safe, Low-caffeine, Low-calorie"
Irn-Bru,Irn-Bru Lemon-Lime Blast,Lemon-Lime,Sparkling Water,"Citric Acid, Sugar, Caffeine, Fruit Juice Concentrate, Caffeine, Sugar",120,30,120,High caffeine,Mexico,Party,Factor share treat bill individual strong chance.,High-caffeine
Fanta,Fanta Cola Blast,Cola,Energy Drink,"Herbal Extract, Artificial Flavor, Artificial Flavor, Sugar, Natural Flavors, Sugar",0,5,20,"Low sugar, Low calorie, Caffeine-free",USA,Hydration,Commercial issue dog rich maintain area more yet.,"Low-sugar, Caffeine-free, Low-calorie, Kids-friendly"
Thums Up,Thums Up Melon Blast,Melon,Diet Soda,"Citric Acid, Sodium Benzoate, Sodium Benzoate, Artificial Flavor, Sugar, Fruit Juice Concentrate",40,0,0,"Sugar-free, Zero calorie",Mexico,Hydration,Son debate power customer special sign.,"Diabetic-safe, Low-calorie"
Canada Dry,Canada Dry Melon Blast,Melon,Sparkling Water,"Caffeine, Natural Flavors, Carbonated Water, Natural Flavors, Artificial Flavor, Fruit Juice Concentrate",160,20,80,High caffeine,Mexico,Weight Management,Mr major stand already them claim section sound.,High-caffeine
Big Cola,Big Cola Mixed Fruit Blast,Mixed Fruit,Sparkling Water,"Sugar, Artificial Flavor, Natural Flavors, Sugar, Herbal Extract, Fruit Juice Concentrate",120,30,120,High caffeine,UK,Energy Boost,Here type movement seven social decision that community.,High-caffeine
Big Cola,Big Cola Mixed Fruit Blast,Mixed Fruit,Soda,"Artificial Flavor, Sodium Benzoate, Caffeine, Sugar, Artificial Flavor, Citric Acid",80,10,40,Low calorie,Brazil,Party,Old single reach everybody practice father parent easy.,Low-calorie
Pepsi,Pepsi Mango Blast,Mango,Sparkling Juice,"Artificial Flavor, Fruit Juice Concentrate, Herbal Extract, Natural Flavors, Natural Flavors, Sweetener",0,30,120,Caffeine-free,UK,Kids-friendly,Very party himself task technology major economic system.,Caffeine-free
Fanta,Fanta Berry Blast,Berry,Tonic,"Sweetener, Sweetener, Artificial Flavor, Sugar, Sweetener, Sodium Benzoate",120,0,0,Sugar-free,South Africa,Everyday,Happen often including key mouth woman believe decision environment fight.,"Diabetic-safe, Low-calorie, High-caffeine"
Mirinda,Mirinda Berry Blast,Berry,Diet Soda,"Sodium Benzoate, Citric Acid, Artificial Flavor, Sweetener, Caffeine, Herbal Extract",160,10,40,Zero calorie,Brazil,Everyday,Move modern success example wind whether career car.,"Low-calorie, High-caffeine"
Pepsi,Pepsi Cola Blast,Cola,Soda,"Herbal Extract, Fruit Juice Concentrate, Caffeine, Sugar, Natural Flavors, Fruit Juice Concentrate",0,5,20,"Low sugar, Low calorie, Caffeine-free",Mexico,Everyday,Administration expect for say floor measure.,"Low-sugar, Caffeine-free, Low-calorie, Kids-friendly"
Red Bull,Red Bull Strawberry Blast,Strawberry,Sparkling Juice,"Artificial Flavor, Sodium Benzoate, Caffeine, Carbonated Water, Herbal Extract, Caffeine",0,40,160,Caffeine-free,Brazil,Hydration,Republican view single part my.,Caffeine-free
7UP,7UP Herbal Blast,Herbal,Tonic,"Carbonated Water, Sweetener, Sodium Benzoate, Sodium Benzoate, Herbal Extract, Sugar",120,40,160,Zero calorie,USA,Post-workout,Tough course attorney baby social up.,High-caffeine
Fresca,Fresca Cola Blast,Cola,Sparkling Juice,"Sodium Benzoate, Artificial Flavor, Carbonated Water, Caffeine, Caffeine, Sodium Benzoate",120,0,0,Zero calorie,Brazil,Post-workout,Fight visit now north law police beat probably buy represent.,"Diabetic-safe, Low-calorie, High-caffeine"
Red Bull,Red Bull Apple Blast,Apple,Soda,"Fruit Juice Concentrate, Citric Acid, Sweetener, Artificial Flavor, Sodium Benzoate, Carbonated Water",0,30,120,Caffeine-free,UK,Energy Boost,Change minute wear will.,Caffeine-free
Appy Fizz,Appy Fizz Cola Blast,Cola,Diet Soda,"Artificial Flavor, Fruit Juice Concentrate, Artificial Flavor, Sodium Benzoate, Fruit Juice Concentrate, Fruit Juice Concentrate",40,0,0,"Sugar-free, Zero calorie",USA,Hydration,Since activity stand pull six market.,"Diabetic-safe, Low-calorie"
Mountain Dew,Mountain Dew Berry Blast,Berry,Tonic,"Carbonated Water, Sweetener, Caffeine, Carbonated Water, Citric Acid, Caffeine",120,0,0,Low calorie,Canada,Energy Boost,Chair maybe edge impact nothing day impact choose according.,"Diabetic-safe, Low-calorie, High-caffeine"
Fanta,Fanta Mango Blast,Mango,Sparkling Juice,"Sweetener, Sugar, Caffeine, Herbal Extract, Sugar, Sodium Benzoate",10,0,0,Sugar-free,Canada,Energy Boost,Outside specific arrive player alone pay model debate occur.,"Diabetic-safe, Low-caffeine, Low-calorie"
Appy Fizz,Appy Fizz Apple Blast,Apple,Soda,"Herbal Extract, Natural Flavors, Herbal Extract, Citric Acid, Herbal Extract, Artificial Flavor",120,40,160,High caffeine,USA,Hydration,Nice let return must thank picture about.,High-caffeine
Thums Up,Thums Up Strawberry Blast,Strawberry,Tonic,"Natural Flavors, Citric Acid, Fruit Juice Concentrate, Sodium Benzoate, Artificial Flavor, Sweetener",30,10,40,Low calorie,USA,Weight Management,Player raise mother option control.,Low-calorie
Red Bull,Red Bull Lemon-Lime Blast,Lemon-Lime,Tonic,"Carbonated Water, Caffeine, Citric Acid, Herbal Extract, Citric Acid, Sweetener",40,0,0,"Sugar-free, Zero calorie",USA,Party,Learn series everything late open people skill bill though.,"Diabetic-safe, Low-calorie"
Canada Dry,Canada Dry Berry Blast,Berry,Sparkling Water,"Artificial Flavor, Carbonated Water, Sodium Benzoate, Carbonated Water, Sugar, Fruit Juice Concentrate",160,40,160,High caffeine,India,Party,According agree national true financial game number.,High-caffeine
